scope,dataset,victim,condition,method,objective,budget,source_class,seed,n,raw_successes,valid_successes,validator_passes,raw_asr,valid_asr,validity_gap_pp,validator_pass_rate,mean_model_evaluations,mean_l2_robust_scaled,mean_linf_robust_scaled,mean_l2_train_minmax,mean_features_modified,max_modified_outside_mask,median_primitive_cost_valid,median_p_valid,median_delay_valid,runtime_seconds,ms_per_flow
victim,cicids2017_distrinet,mlp,prim_hybrid_p75_targeted,Hybrid Search,targeted,p75,ALL,42,3200,354,354,3200,0.110625,0.110625,0.0,1.0,188.315,3450.259279810455,3450.17333550408,0.038576702788026794,15.014375,0,1.3999998569488525,27.0,319355.0,9.178194199688733,2.868185687402729
victim,cicids2017_distrinet,mlp,prim_hybrid_p75_targeted,Hybrid Search,targeted,p75,ALL,2024,3200,354,354,3200,0.110625,0.110625,0.0,1.0,188.315,3442.3737891798373,3442.287737889721,0.038517957520654046,15.023125,0,1.4000020623207092,27.5,289850.5,9.058130599791184,2.830665812434745
victim,cicids2017_distrinet,mlp,prim_hybrid_p75_targeted,Hybrid Search,targeted,p75,ALL,2026,3200,354,354,3200,0.110625,0.110625,0.0,1.0,188.315,3443.7033693752,3443.6174863948054,0.038506595423346494,15.0196875,0,1.3999994993209839,27.0,329732.0,8.994982099859044,2.8109319062059512
victim,cicids2017_distrinet,cnn,prim_hybrid_p75_targeted,Hybrid Search,targeted,p75,ALL,42,3200,1157,1157,3200,0.3615625,0.3615625,0.0,1.0,188.36625,2922.5345266898485,2922.4510029907974,0.03535656905711391,14.96125,0,1.6087117195129395,53.0,1371457.0,9.725573800271377,3.0392418125848053
victim,cicids2017_distrinet,cnn,prim_hybrid_p75_targeted,Hybrid Search,targeted,p75,ALL,2024,3200,1156,1156,3200,0.36125,0.36125,0.0,1.0,188.36625,2923.182912619044,2923.098281004001,0.03544147718678911,14.97625,0,1.6038639545440674,52.0,1348141.5,9.062672399915755,2.8320851249736734
victim,cicids2017_distrinet,cnn,prim_hybrid_p75_targeted,Hybrid Search,targeted,p75,ALL,2026,3200,1157,1157,3200,0.3615625,0.3615625,0.0,1.0,188.36625,2927.392929159863,2927.30875302387,0.035344377470630815,14.9375,0,1.6112985610961914,53.0,1344153.0,9.583616900024936,2.9948802812577924
victim,cicids2017_distrinet,ft_transformer,prim_hybrid_p75_targeted,Hybrid Search,targeted,p75,ALL,42,3200,14,14,3200,0.004375,0.004375,0.0,1.0,188.213125,3310.2877437012457,3310.206280579618,0.034242781718439676,14.970625,0,0.19615384936332703,15.0,0.0,38.864297500113025,12.14509296878532
victim,cicids2017_distrinet,ft_transformer,prim_hybrid_p75_targeted,Hybrid Search,targeted,p75,ALL,2024,3200,14,14,3200,0.004375,0.004375,0.0,1.0,188.213125,3307.7889529103686,3307.7074898187484,0.03423356660915279,14.9759375,0,0.19615384936332703,15.0,0.0,39.544506300240755,12.357658218825236
victim,cicids2017_distrinet,ft_transformer,prim_hybrid_p75_targeted,Hybrid Search,targeted,p75,ALL,2026,3200,14,14,3200,0.004375,0.004375,0.0,1.0,188.213125,3308.4167168547215,3308.33631483072,0.03423166579846773,14.966875,0,0.19615384936332703,15.0,0.0,38.92608239990659,12.16440074997081
victim,cicids2018_distrinet,mlp-s42,prim_hybrid_p75_targeted,Hybrid Search,targeted,p75,ALL,42,3200,42,10,2396,0.013125,0.003125,0.9999999999999999,0.74875,192.855,377.1150246629861,376.6815366631989,0.023702269512293643,8.7440625,0,0.9999999403953552,0.0,5618281.0,9.869587399763986,3.0842460624262458
victim,cicids2018_distrinet,mlp-s42,prim_hybrid_p75_targeted,Hybrid Search,targeted,p75,ALL,2024,3200,41,10,2398,0.0128125,0.003125,0.9687499999999998,0.749375,192.855,377.2458088071512,376.81463550151557,0.023719914016636555,8.740625,0,0.9999999105930328,0.0,5618281.0,9.833624500082806,3.073007656275877
