scope,dataset,victim,condition,method,objective,budget,source_class,seed,n,raw_successes,valid_successes,validator_passes,raw_asr,valid_asr,validity_gap_pp,validator_pass_rate,raw_targeted_benign_successes,valid_targeted_benign_successes,raw_targeted_benign_asr,valid_targeted_benign_asr,mean_model_evaluations,mean_l2_robust_scaled,mean_linf_robust_scaled,mean_l2_train_minmax,mean_features_modified,max_modified_outside_mask,median_primitive_cost_valid,median_p_valid,median_delay_valid,runtime_seconds,ms_per_flow
victim,cicids2017_distrinet,mlp,prim_pgd_p75_untargeted,"PrimAttack (Prim-PGD, p75)",untargeted,p75,ALL,42,3200,131,131,3200,0.0409375,0.0409375,0.0,1.0,131,131,0.0409375,0.0409375,187.08625,3417.5888168239476,3417.5217351572005,0.02090943678090476,8.1246875,0,0.6000001430511475,0.0,1234476.0,22.452960799913853,7.016550249973079
victim,cicids2017_distrinet,mlp,prim_pgd_p75_untargeted,"PrimAttack (Prim-PGD, p75)",untargeted,p75,ALL,2024,3200,131,131,3200,0.0409375,0.0409375,0.0,1.0,131,131,0.0409375,0.0409375,187.08625,3417.4953878241377,3417.428389915473,0.020885659044668433,8.1296875,0,0.600000262260437,0.0,1294248.0,22.47217210009694,7.022553781280294
victim,cicids2017_distrinet,mlp,prim_pgd_p75_untargeted,"PrimAttack (Prim-PGD, p75)",untargeted,p75,ALL,2026,3200,131,131,3200,0.0409375,0.0409375,0.0,1.0,131,131,0.0409375,0.0409375,187.08625,3418.6220260838663,3418.5550299941574,0.02090478730358646,8.13125,0,0.6500002145767212,0.0,1258335.0,22.93080210010521,7.1658756562828785
victim,cicids2017_distrinet,cnn,prim_pgd_p75_untargeted,"PrimAttack (Prim-PGD, p75)",untargeted,p75,ALL,42,3200,431,431,3200,0.1346875,0.1346875,0.0,1.0,423,423,0.1321875,0.1321875,187.08625,3102.7157569317183,3102.649871597166,0.01946220592255158,8.2021875,0,0.6242687106132507,0.0,961093.0,23.161022000247613,7.237819375077379
victim,cicids2017_distrinet,cnn,prim_pgd_p75_untargeted,"PrimAttack (Prim-PGD, p75)",untargeted,p75,ALL,2024,3200,431,431,3200,0.1346875,0.1346875,0.0,1.0,423,423,0.1321875,0.1321875,187.08625,3124.191717195859,3124.1275486317004,0.01957587727177863,8.1965625,0,0.6538426876068115,0.0,988819.0,23.212987300008535,7.254058531252667
victim,cicids2017_distrinet,cnn,prim_pgd_p75_untargeted,"PrimAttack (Prim-PGD, p75)",untargeted,p75,ALL,2026,3200,431,431,3200,0.1346875,0.1346875,0.0,1.0,422,422,0.131875,0.131875,187.08625,3126.219855758658,3126.1533744884887,0.019527435164006703,8.1978125,0,0.6418458223342896,0.0,1059962.0,22.96620179992169,7.176938062475529
victim,cicids2017_distrinet,ft_transformer,prim_pgd_p75_untargeted,"PrimAttack (Prim-PGD, p75)",untargeted,p75,ALL,42,3200,4,4,3200,0.00125,0.00125,0.0,1.0,4,4,0.00125,0.00125,187.165,2514.269239460499,2514.2148799845877,0.01727252574640652,7.190625,0,0.27245138585567474,0.0,5271.5,44.434467600192875,13.885771125060273
victim,cicids2017_distrinet,ft_transformer,prim_pgd_p75_untargeted,"PrimAttack (Prim-PGD, p75)",untargeted,p75,ALL,2024,3200,4,4,3200,0.00125,0.00125,0.0,1.0,4,4,0.00125,0.00125,187.165,2518.5735713292434,2518.524222436815,0.017261060616025066,7.1703125,0,0.24843411147594452,0.0,5112.0,44.43448210018687,13.885775656308397
victim,cicids2017_distrinet,ft_transformer,prim_pgd_p75_untargeted,"PrimAttack (Prim-PGD, p75)",untargeted,p75,ALL,2026,3200,4,4,3200,0.00125,0.00125,0.0,1.0,4,4,0.00125,0.00125,187.165,2514.169877747627,2514.11859628746,0.017050460107576805,7.1371875,0,0.2750381827354431,0.0,5697.0,44.05493369977921,13.767166781181004
victim,cicids2018_distrinet,mlp-s42,prim_pgd_p75_untargeted,"PrimAttack (Prim-PGD, p75)",untargeted,p75,ALL,42,3200,81,81,3200,0.0253125,0.0253125,0.0,1.0,25,25,0.0078125,0.0078125,189.92125,355.8516921344472,355.73392374667304,0.008232236102643677,6.601875,0,0.6000003218650818,0.0,508611.0,9.76374869979918,3.0511714686872438
victim,cicids2018_distrinet,mlp-s42,prim_pgd_p75_untargeted,"PrimAttack (Prim-PGD, p75)",untargeted,p75,ALL,2024,3200,81,81,3200,0.0253125,0.0253125,0.0,1.0,25,25,0.0078125,0.0078125,189.92125,347.96326225939106,347.8480347542807,0.008162020246613177,6.570625,0,0.5999994874000549,0.0,490382.0,9.261366100050509,2.894176906265784
victim,cicids2018_distrinet,mlp-s42,prim_pgd_p75_untargeted,"PrimAttack (Prim-PGD, p75)",untargeted,p75,ALL,2026,3200,81,81,3200,0.0253125,0.0253125,0.0,1.0,25,25,0.0078125,0.0078125,189.92125,355.3224005600759,355.20478174371283,0.008246522464222663,6.6309375,0,0.6238124370574951,0.0,507686.0,9.44917679997161,2.952867749991128
victim,cicids2018_distrinet,cnn-s42,prim_pgd_p75_untargeted,"PrimAttack (Prim-PGD, p75)",untargeted,p75,ALL,42,3200,37,37,3196,0.0115625,0.0115625,0.0,0.99875,0,0,0.0,0.0,189.8425,283.14963394827544,282.9148791438788,0.005658984119099977,6.5675,0,0.8690468072891235,0.0,124682.0,9.37341669970192,2.92919271865685
victim,cicids2018_distrinet,cnn-s42,prim_pgd_p75_untargeted,"PrimAttack (Prim-PGD, p75)",untargeted,p75,ALL,2024,3200,37,37,3197,0.0115625,0.0115625,0.0,0.9990625,0,0,0.0,0.0,189.8425,277.60519050909073,277.40492677596745,0.0054095712999121075,6.5846875,0,0.8077241778373718,0.0,124480.0,8.77834610035643,2.7432331563613843
victim,cicids2018_distrinet,cnn-s42,prim_pgd_p75_untargeted,"PrimAttack (Prim-PGD, p75)",untargeted,p75,ALL,2026,3200,37,37,3197,0.0115625,0.0115625,0.0,0.9990625,0,0,0.0,0.0,189.8425,282.5614888600405,282.36062715703014,0.005527560868497533,6.575,0,0.8668748736381531,0.0,124973.0,9.038076699944213,2.8243989687325666
victim,cicids2018_distrinet,ft_transformer-s42,prim_pgd_p75_untargeted,"PrimAttack (Prim-PGD, p75)",untargeted,p75,ALL,42,3200,0,0,3198,0.0,0.0,0.0,0.999375,0,0,0.0,0.0,189.92125,246.78503458059305,246.36498014286187,0.005338883689032396,7.8,0,,,,41.89595770020969,13.092486781315529
victim,cicids2018_distrinet,ft_transformer-s42,prim_pgd_p75_untargeted,"PrimAttack (Prim-PGD, p75)",untargeted,p75,ALL,2024,3200,0,0,3198,0.0,0.0,0.0,0.999375,0,0,0.0,0.0,189.92125,248.34900975882505,247.930541088895,0.0053489299374379125,7.79625,0,,,,41.789605899946764,13.059251843733364
victim,cicids2018_distrinet,ft_transformer-s42,prim_pgd_p75_untargeted,"PrimAttack (Prim-PGD, p75)",untargeted,p75,ALL,2026,3200,0,0,3198,0.0,0.0,0.0,0.999375,0,0,0.0,0.0,189.92125,247.0239404919837,246.50016323576816,0.005643583205477464,7.796875,0,,,,41.49910739995539,12.96847106248606
victim,cicids2017_distrinet,mlp,pgd_untargeted,PGD,untargeted,native,ALL,42,3200,3200,0,0,1.0,0.0,100.0,0.0,2980,0,0.93125,0.0,40.0,4.3789960719030825,0.5000171493541283,1.2131604728408796,78.4196875,56,,,,0.16173070017248392,0.050540843803901225
victim,cicids2017_distrinet,mlp,pgd_untargeted,PGD,untargeted,native,ALL,2024,3200,3200,0,0,1.0,0.0,100.0,0.0,2984,0,0.9325,0.0,40.0,4.380277110871669,0.5000204699860539,1.2139755006991761,78.4375,56,,,,0.12088229996152222,0.037775718737975694
victim,cicids2017_distrinet,mlp,pgd_untargeted,PGD,untargeted,native,ALL,2026,3200,3200,0,0,1.0,0.0,100.0,0.0,2960,0,0.925,0.0,40.0,4.378529716078305,0.5000171510625263,1.2128801219648677,78.4221875,56,,,,0.12336190021596849,0.03855059381749015
victim,cicids2017_distrinet,cnn,pgd_untargeted,PGD,untargeted,native,ALL,42,3200,3079,0,0,0.9621875,0.0,96.21875,0.0,2617,0,0.8178125,0.0,40.0,4.009496241111652,0.5000171016811531,1.1192662731100638,78.4090625,56,,,,4.99417440011166,1.5606795000348939
victim,cicids2017_distrinet,cnn,pgd_untargeted,PGD,untargeted,native,ALL,2024,3200,3076,0,0,0.96125,0.0,96.125,0.0,2614,0,0.816875,0.0,40.0,4.00858692049666,0.5000204171229374,1.1198957032902654,78.4271875,56,,,,4.908621999900788,1.5339443749689963
victim,cicids2017_distrinet,cnn,pgd_untargeted,PGD,untargeted,native,ALL,2026,3200,3073,0,0,0.9603125,0.0,96.03125,0.0,2627,0,0.8209375,0.0,40.0,4.011412803397517,0.5000171020246462,1.121228016822642,78.4165625,56,,,,4.9193951999768615,1.5373109999927692
victim,cicids2017_distrinet,ft_transformer,pgd_untargeted,PGD,untargeted,native,ALL,42,3200,3115,0,0,0.9734375,0.0,97.34375,0.0,2788,0,0.87125,0.0,40.0,4.141026071437472,0.5000171294405481,1.14432699489706,78.41375,56,,,,12.53788910037838,3.9180903438682435
